id_hexagono,humedad_pct
1,40.9
2,15.3
3,15.6
4,20.2
5,19.2
6,19.9
7,19.0
8,19.5
9,22.1
10,35.1
11,20.0
12,18.4
13,36.0
14,22.2
15,70.4
16,39.0
17,20.4
18,13.3
19,18.9
20,110.8
21,14.0
22,13.7
23,16.2
24,21.5
25,16.5
26,32.9
27,18.6
28,21.2
29,16.0
30,19.0
31,20.2
32,19.0
33,17.5
34,86.2
35,17.0
36,14.0
37,83.0
38,19.5
39,140.5
40,21.0
41,15.4
42,9.0
43,20.9
44,27.5
45,13.9
46,19.9
47,
48,
49,23.3
50,9.0
51,16.3
52,14.9
53,
54,19.7
55,19.0
56,18.7
57,13.0
58,14.8
59,34.0
60,21.6
61,11.4
62,73.9
63,14.6
64,15.1
65,87.6
66,9.0
67,9.0
68,
69,21.8
70,
71,
72,16.9
73,14.6
74,14.8
75,19.1
76,19.0
77,172.7
78,45.0
79,52.1
80,26.9
81,18.0
82,20.2
83,25.6
84,36.1
85,31.8
86,19.3
87,21.2
88,20.5
89,17.1
90,21.6
91,21.0
92,21.0
93,18.6
94,
95,19.3
96,18.0
97,
98,20.0
99,19.0
100,18.7
101,14.2
102,13.4
103,14.2
104,76.7
105,17.2
106,21.0
107,29.0
108,30.5
109,20.9
110,23.3
111,26.2
112,37.8
113,16.9
114,22.2
115,26.8
116,21.0
117,17.0
118,13.1
119,15.9
120,13.4
121,20.7
122,8.8
123,19.0
124,19.1
125,19.0
126,20.9
127,15.9
128,18.4
129,17.3
130,15.9
131,13.0
132,16.0
133,17.5
134,16.1
135,15.7
136,13.5
137,14.0
138,16.6
139,13.3
140,34.8
141,14.5
142,15.0
143,13.0
144,16.5
145,88.7
146,35.1
147,51.2
148,19.0
149,35.6
150,29.9
151,22.7
152,34.6
153,37.3
154,39.0
155,
156,30.7
157,30.4
158,36.0
159,29.4
160,33.0
161,19.6
162,18.0
163,
164,18.3
165,22.7
166,18.4
167,20.4
168,16.2
169,16.2
170,17.3
171,17.0
172,13.0
173,12.8
174,207.2
175,17.3
176,98.0
177,28.0
178,17.0
179,149.8
180,27.0
181,29.5
182,34.0
183,33.3
184,37.2
185,34.1
186,33.7
187,33.0
188,33.0
189,30.9
190,37.2
191,28.2
192,27.9
193,20.4
194,19.0
195,31.2
