id,nombre,Humedad_count,Humedad_sum,Humedad_mean
1,Norte - San Francisco del Chañar,151,6171,40.8675496688742
2,Norte - Villa de María del Río Seco,154,2355,15.2922077922078
3,Noroeste - Cruz del Eje,141,2194,15.5602836879433
4,Noroeste - Villa de Soto,147,2969,20.1972789115646
5,Sierras - Capilla del Monte,149,2859,19.1879194630872
6,Sierras - La Falda,146,2905,19.8972602739726
7,Sierras - Carlos Paz,146,2778,19.027397260274
8,Sierras - Alta Gracia,146,2852,19.5342465753425
9,Sierras - Villa Gral. Belgrano,150,3308,22.0533333333333
10,Traslasierra - Mina Clavero,146,5128,35.1232876712329
11,Traslasierra - Villa Dolores,146,2913,19.9520547945205
12,Mar Chiquita - Miramar,150,2758,18.3866666666667
13,Este - San Francisco,50,1800,36
14,Este - Las Varillas,154,3423,22.2272727272727
15,Sudeste - Bell Ville,155,10912,70.4
16,Sudeste - Marcos Juárez,155,6045,39
17,Sur - La Carlota,155,3169,20.4451612903226
18,Sur - Río Cuarto,144,1912,13.2777777777778
19,Suroeste - Villa Huidobro,150,2840,18.9333333333333
20,Capital - Norte,146,16176,110.794520547945
21,Norte - Quilino,147,2058,14
22,Norte - Villa del Totoral,150,2056,13.7066666666667
23,Noreste - La Para,152,2465,16.2171052631579
24,Este - Arroyito,153,3283,21.4575163398693
25,Este - Villa del Rosario,151,2489,16.4834437086093
26,Sudeste - Justiniano Posse,155,5092,32.8516129032258
27,Sur - Alejandro Roca,155,2888,18.6322580645161
28,Sur - General Levalle,155,3285,21.1935483870968
29,Suroeste - Jovita,148,2368,16
30,Oeste - San Carlos Minas,149,2831,19
31,Oeste - Salsacate,149,3009,20.1946308724832
32,Centro - Oncativo,154,2926,19
33,Centro - Río Tercero,150,2632,17.5466666666667
34,Centro - Berrotarán,148,12761,86.222972972973
35,Sierras Chicas - La Granja,141,2394,16.9787234042553
36,Sierras Chicas - Unquillo,142,1984,13.9718309859155
37,Sierras Chicas - La Calera,141,11705,83.0141843971631
38,Paravachasca - Anisacate,146,2852,19.5342465753425
39,Calamuchita - Embalse,147,20660,140.544217687075
40,Suroeste - Sampacho,148,3108,21
41,Extremo Norte,86,1326,15.4186046511628
42,Salinas Grandes,87,783,9
43,Pampa de Pocho,146,3050,20.8904109589041
44,Pampa de Achala,127,3493,27.503937007874
45,Sierras del Sur,77,1067,13.8571428571429
46,Laguna La Chanchera,155,3081,19.8774193548387
47,Bañados del Río Dulce,0,0,
48,Llanura Oriental,0,0,
49,Llanura Pampeana,155,3610,23.2903225806452
50,Depresión de las Salinas,147,1323,9
51,Sierras de Guasapampa,147,2392,16.2721088435374
52,Sierras de Pocho,146,2174,14.8904109589041
53,Sierras de San Luis (Límite),0,0,
54,Sur de Punilla,146,2880,19.7260273972603
55,Valle de Calamuchita,147,2793,19
56,Valle de Traslasierra,150,2800,18.6666666666667
57,Pedemonte Oriental,146,1898,13
58,Cuenca del Río Xanaes,153,2267,14.8169934640523
59,Cuenca del Río Ctalamochita,155,5267,33.9806451612903
60,Cuenca del Río Chocancharava,158,3420,21.6455696202532
61,Norte de Ischilín,150,1710,11.4
62,Norte de Tulumba,154,11377,73.8766233766234
63,Norte de Río Seco,151,2206,14.6092715231788
64,Oeste de Sobremonte,29,437,15.0689655172414
65,Límite con Santiago del Estero,151,13233,87.635761589404
66,Límite con Catamarca,60,540,9
67,Límite con La Rioja,12,108,9
68,Límite con San Luis,0,0,
69,Límite con La Pampa,11,240,21.8181818181818
70,Límite con Buenos Aires,0,0,
71,Límite con Santa Fe,0,0,
72,Río Primero (Ciudad),151,2559,16.9470198675497
73,Río Segundo (Ciudad),153,2235,14.6078431372549
74,Pilar (Ciudad),153,2267,14.8169934640523
75,Laguna Larga,152,2910,19.1447368421053
76,Oliva (Ciudad),155,2945,19
77,James Craik,150,25898,172.653333333333
78,Villa María,155,6978,45.0193548387097
79,Villa Nueva,155,8077,52.1096774193548
80,Hernando,155,4163,26.858064516129
81,General Cabrera,155,2791,18.0064516129032
82,General Deheza,155,3133,20.2129032258065
83,Las Perdices,155,3965,25.5806451612903
84,Corral de Bustos,126,4544,36.0634920634921
85,Arias,103,3277,31.8155339805825
86,Canals,155,2986,19.2645161290323
87,Laboulaye,155,3286,21.2
88,Serrano,135,2770,20.5185185185185
89,Vicuña Mackenna,148,2533,17.1148648648649
90,Adelia María,158,3417,21.626582278481
91,Bulnes,148,3108,21
92,Coronel Moldes,150,3150,21
93,La Cautiva,143,2666,18.6433566433566
94,General Villegas (Límite),0,0,
95,Río Bamba (Límite),30,580,19.3333333333333
96,San Javier (Traslasierra),21,379,18.047619047619
97,La Paz (Traslasierra),0,0,
98,Villa Sarmiento,146,2920,20
99,San Pedro (Norte),141,2676,18.9787234042553
100,San Agustín,146,2730,18.6986301369863
101,Despeñaderos,141,2001,14.1914893617021
102,Toledo,152,2030,13.3552631578947
103,Monte Cristo,152,2156,14.1842105263158
104,Malvinas Argentinas,149,11435,76.744966442953
105,Mi Granja,152,2621,17.2434210526316
106,Malena,148,3108,21
107,Santa Eufemia,155,4495,29
108,Chazón,155,4730,30.5161290322581
109,Pascanas,155,3243,20.9225806451613
110,Ucacha,155,3610,23.2903225806452
111,Etruria,155,4062,26.2064516129032
112,La Laguna,150,5668,37.7866666666667
113,Pozo del Molle,155,2620,16.9032258064516
114,Las Varillas,154,3423,22.2272727272727
115,El Arañado,153,4097,26.7777777777778
116,Sacanta,152,3193,21.0065789473684
117,Luque,153,2595,16.9607843137255
118,Calchín,154,2016,13.0909090909091
119,Carrilobo,151,2404,15.9205298013245
120,Colonia Tirolesa,149,2000,13.4228187919463
121,Sinsacate,149,3079,20.6644295302013
122,Ascochinga,142,1249,8.79577464788732
123,Candonga,146,2774,19
124,Bialet Massé,146,2786,19.0821917808219
125,Tanti,149,2831,19
126,Los Gigantes,142,2969,20.9084507042254
127,La Posta,152,2418,15.9078947368421
128,Obispo Trejo,152,2804,18.4473684210526
129,Villa Fontana,153,2640,17.2549019607843
130,La Puerta,152,2418,15.9078947368421
131,Las Arrias,154,2002,13
132,Cañada de Luque,153,2441,15.9542483660131
133,Las Peñas,152,2667,17.5460526315789
134,Sarmiento,153,2459,16.0718954248366
135,Simbolar,152,2384,15.6842105263158
136,San José de la Dormida,153,2061,13.4705882352941
137,Chuña,146,2044,14
138,Copacabana,147,2433,16.5510204081633
139,Serrezuela,146,1949,13.3493150684932
140,El Brete,146,5076,34.7671232876712
141,Ciénaga del Coro,146,2118,14.5068493150685
142,San Vicente,5,75,15
143,Villa de Pocho,146,1902,13.027397260274
144,Las Tapias,146,2405,16.472602739726
145,Ambul,146,12946,88.6712328767123
146,Cura Brochero,146,5128,35.1232876712329
147,Panaholma,146,7474,51.1917808219178
148,San Lorenzo,149,2831,19
149,Quebracho Herrado,152,5415,35.625
150,Saturnino M. Laspiur,153,4571,29.8758169934641
151,Alicia,151,3428,22.7019867549669
152,El Fortín,138,4773,34.5869565217391
153,Noetinger,155,5785,37.3225806451613
154,Leones,155,6045,39
155,Cavanagh,0,0,
156,Guatimozín,155,4760,30.7096774193548
157,Monte Maíz,150,4555,30.3666666666667
158,Isla Verde,155,5580,36
159,Wenceslao Escalante,155,4551,29.3612903225806
160,Pueblo Italiano,137,4521,33
161,Viamonte,150,2945,19.6333333333333
162,La Cesira,155,2791,18.0064516129032
163,Pincén,0,0,
164,Italó,155,2830,18.258064516129
165,Buchardo,130,2949,22.6846153846154
166,Washington,158,2909,18.4113924050633
167,Carolina,143,2920,20.4195804195804
168,Tosquita,150,2425,16.1666666666667
169,Chaján,148,2393,16.1689189189189
170,Las Acequias,158,2734,17.3037974683544
171,Reducción,150,2550,17
172,Elena,148,1924,13
173,Gigena,144,1840,12.7777777777778
174,Los Zorros,155,32119,207.21935483871
175,Colazo,151,2617,17.3311258278146
176,Pampayasta,155,15192,98.0129032258065
177,Tancacha,155,4335,27.9677419354839
178,General Fotheringham,155,2635,17
179,Tío Pujio,155,23216,149.78064516129
180,Arroyo Cabral,155,4191,27.0387096774194
181,Luca,155,4572,29.4967741935484
182,Ballesteros,155,5267,33.9806451612903
183,Morrison,155,5158,33.2774193548387
184,San Antonio de Litín,155,5763,37.1806451612903
185,Cintra,155,5290,34.1290322580645
186,Chilibroste,155,5231,33.7483870967742
187,Ordoñez,155,5115,33
188,Idiazábal,155,5113,32.9870967741935
189,Ausonia,155,4789,30.8967741935484
190,La Palestina,155,5772,37.2387096774194
191,Ticino,155,4371,28.2
192,Dalmacio Vélez,155,4328,27.9225806451613
193,Las Isletillas,155,3163,20.4064516129032
194,Punta del Agua,155,2945,19
195,Capital - Sur,146,4560,31.2328767123288
