nombre,lat,lon,ndvi,nbr,lst_celsius,precip_60d_mm,humedad_min,viento_max_kmh,riesgo_final,nivel
Cordoba Capital,-31.4201,-64.1888,0.116,-0.005,20.8,0,39,18.9,64.2,ALTO
Rio Cuarto,-33.1307,-64.3499,0.149,-0.005,20.2,0,32,18.8,66.9,ALTO
Villa Maria,-32.4075,-63.2402,0.217,0.073,18.8,0,36,16.3,59.3,ALTO
San Francisco,-31.4279,-62.0827,0.163,0.004,23.0,0,35,26.9,69.7,ALTO
Carlos Paz,-31.4239,-64.4978,0.215,0.051,20.3,0,40,23.6,62.4,ALTO
Alta Gracia,-31.6529,-64.4283,0.281,0.078,22.1,0,39,20.9,59.8,ALTO
Jesus Maria,-30.9815,-64.0942,0.237,0.037,23.5,0,41,21.9,62.1,ALTO
La Falda,-31.0898,-64.4883,0.41,0.209,19.0,0,42,43.0,61.1,ALTO
Marcos Juarez,-32.6974,-62.1054,0.253,0.106,22.7,0,29,22.0,64.0,ALTO
Cruz del Eje,-30.7259,-64.8049,0.269,0.062,25.6,0,32,35.7,72.0,ALTO
Mina Clavero,-31.7246,-65.0039,0.361,0.128,21.7,0,42,11.5,50.4,ALTO
Rio Tercero,-32.176,-64.1132,0.21,0.075,22.0,0,40,12.7,56.2,ALTO
Bell Ville,-32.6288,-62.6865,0.236,0.097,21.3,0,32,20.4,62.2,ALTO
Deán Funes,-30.4221,-64.3524,0.29,0.088,22.9,0,38,40.3,69.5,ALTO
Villa Dolores,-31.9458,-65.1901,0.22,0.058,20.9,0,28,25.5,68.6,ALTO
La Carlota,-33.4191,-63.2982,0.359,0.147,21.2,0,27,19.7,60.4,ALTO
Laboulaye,-34.1278,-63.3916,0.239,0.032,22.0,0,30,17.7,65.1,ALTO
Arroyito,-31.4195,-62.9781,0.476,0.167,22.6,0,32,22.6,57.6,ALTO
Cosquin,-31.245,-64.4656,0.286,0.078,21.4,0,40,23.6,60.6,ALTO
Santa Rosa de Calamuchita,-32.07,-64.5369,0.392,0.17,20.4,0,41,15.5,50.2,ALTO
Cerro Champaqui,-31.9897,-64.9392,0.263,-0.017,11.1,0,24,25.8,72.1,ALTO
Laguna Mar Chiquita,-30.95,-62.85,0.37,0.027,22.8,0,32,23.6,66.2,ALTO
Salsipuedes,-31.135,-64.2931,0.642,0.446,20.7,0,47,24.5,36.1,MODERADO
Capilla del Monte,-30.86,-64.525,0.325,0.122,20.4,0,42,43.0,66.6,ALTO
Embalse,-32.1833,-64.4167,0.175,0.257,16.6,0,39,12.9,47.0,MODERADO
Villa General Belgrano,-31.9833,-64.55,0.571,0.33,19.5,0,44,13.7,38.0,MODERADO
San Agustín,-31.9806,-64.3753,0.359,0.169,21.5,0,41,15.5,50.8,ALTO
Oncativo,-31.9142,-63.6811,0.285,0.118,22.6,0,34,16.4,57.9,ALTO
Oliva,-32.0436,-63.5683,0.384,0.2,21.5,0,36,15.9,51.5,ALTO
Las Varillas,-31.8708,-62.7194,0.281,0.083,20.6,0,33,23.4,63.4,ALTO
Corral de Bustos,-33.2833,-62.1833,0.38,0.156,23.1,0,31,20.3,58.5,ALTO
General Cabrera,-32.8122,-63.8711,0.297,0.149,16.1,0,32,15.5,55.7,ALTO
La Cumbre,-30.9814,-64.4903,0.418,0.219,17.8,0,41,38.2,58.4,ALTO
San Javier y Yacanto,-32.0,-65.0833,0.519,0.197,20.6,0,26,28.0,60.8,ALTO
Nono,-31.7944,-64.9922,0.391,0.066,21.4,0,42,11.5,53.1,ALTO
Salsacate,-31.3206,-65.0933,0.376,-0.009,20.5,0,31,20.1,65.8,ALTO
Villa de Soto,-30.855,-64.9975,0.31,0.075,25.1,0,27,29.8,70.2,ALTO
Villa Huidobro,-34.8333,-64.2833,0.458,0.243,21.3,0,34,18.9,51.0,ALTO
Huinca Renanco,-34.8333,-64.3667,0.58,0.356,21.8,0,33,17.4,43.9,MODERADO
Vicuña Mackenna,-33.9167,-64.3917,0.316,0.109,20.9,0,27,16.5,61.1,ALTO
Serrano,-34.4667,-63.5333,0.441,0.278,19.9,0,34,14.1,46.8,MODERADO
Justiniano Posse,-32.8833,-62.6833,0.327,0.068,23.8,0,28,18.7,64.2,ALTO
Monte Maíz,-33.2,-62.6,0.323,0.124,21.9,0,28,19.1,61.3,ALTO
Morteros,-30.7167,-61.9833,0.411,0.104,25.2,0,36,28.8,63.1,ALTO
Brinkmann,-30.8667,-62.0333,0.517,0.261,23.7,0,36,27.9,53.5,ALTO
Balnearia,-31.0,-62.6667,0.66,0.411,23.3,0,32,24.6,45.3,MODERADO
Miramar,-30.9167,-62.6833,0.005,0.374,19.9,0,40,26.6,48.9,MODERADO
Rio Primero,-31.3333,-63.6,0.754,0.546,21.3,0,31,18.9,38.1,MODERADO
La Puerta,-31.1167,-63.2833,0.656,0.455,21.6,0,33,21.5,40.8,MODERADO
Villa del Totoral,-30.8167,-63.7167,0.244,-0.109,24.5,0,35,22.9,67.4,ALTO
Quilino,-30.2167,-64.5,0.407,0.144,24.5,0,32,38.2,67.6,ALTO
Serrezuela,-30.65,-65.3833,0.274,-0.061,25.4,0,24,20.7,71.2,ALTO
San Carlos Minas,-31.1833,-64.9,0.379,0.058,19.6,0,29,36.5,71.9,ALTO
Villa Cura Brochero,-31.7,-65.0167,0.359,0.098,20.3,0,42,11.5,51.7,ALTO
Amboy,-32.1667,-64.5833,0.581,0.29,20.7,0,41,15.5,42.4,MODERADO
La Cumbrecita,-31.9167,-64.7667,0.52,0.186,20.7,0,53,20.2,45.0,MODERADO
