nombre,lat,lon,ndvi,nbr,lst_celsius,precip_60d_mm,riesgo_final,nivel
Cordoba Capital,-31.4201,-64.1888,0.116,-0.005,20.8,0,75.3,CRÍTICO
Rio Cuarto,-33.1307,-64.3499,0.149,-0.005,20.2,0,73.7,ALTO
Villa Maria,-32.4075,-63.2402,0.217,0.073,18.8,0,65.1,ALTO
San Francisco,-31.4279,-62.0827,0.163,0.004,23.0,0,75.8,CRÍTICO
Carlos Paz,-31.4239,-64.4978,0.215,0.051,20.3,0,68.3,ALTO
Alta Gracia,-31.6529,-64.4283,0.281,0.078,22.1,0,66.2,ALTO
Jesus Maria,-30.9815,-64.0942,0.237,0.037,23.5,0,71.8,ALTO
La Falda,-31.0898,-64.4883,0.41,0.209,19.0,0,50.0,MODERADO
Marcos Juarez,-32.6974,-62.1054,0.253,0.106,22.7,0,65.7,ALTO
Cruz del Eje,-30.7259,-64.8049,0.269,0.062,25.6,0,71.2,ALTO
Mina Clavero,-31.7246,-65.0039,0.361,0.128,21.7,0,60.0,ALTO
Rio Tercero,-32.176,-64.1132,0.21,0.075,22.0,0,68.5,ALTO
Bell Ville,-32.6288,-62.6865,0.236,0.097,21.3,0,65.4,ALTO
Deán Funes,-30.4221,-64.3524,0.29,0.088,22.9,0,66.0,ALTO
Villa Dolores,-31.9458,-65.1901,0.22,0.058,20.9,0,68.2,ALTO
La Carlota,-33.4191,-63.2982,0.359,0.147,21.2,0,58.1,ALTO
Laboulaye,-34.1278,-63.3916,0.239,0.032,22.0,0,70.5,ALTO
Arroyito,-31.4195,-62.9781,0.476,0.167,22.6,0,54.6,ALTO
Cosquin,-31.245,-64.4656,0.286,0.078,21.4,0,65.4,ALTO
Santa Rosa de Calamuchita,-32.07,-64.5369,0.392,0.17,20.4,0,54.8,ALTO
Cerro Champaqui,-31.9897,-64.9392,0.263,-0.017,11.1,0,65.1,ALTO
Laguna Mar Chiquita,-30.95,-62.85,0.37,0.027,22.8,0,67.8,ALTO
Salsipuedes,-31.135,-64.2931,0.642,0.446,20.7,0,29.4,MODERADO
Capilla del Monte,-30.86,-64.525,0.325,0.122,20.4,0,60.1,ALTO
Embalse,-32.1833,-64.4167,0.175,0.257,16.6,0,51.3,ALTO
Villa General Belgrano,-31.9833,-64.55,0.571,0.33,19.5,0,37.2,MODERADO
San Agustín,-31.9806,-64.3753,0.359,0.169,21.5,0,56.9,ALTO
Oncativo,-31.9142,-63.6811,0.285,0.118,22.6,0,63.7,ALTO
Oliva,-32.0436,-63.5683,0.384,0.2,21.5,0,54.0,ALTO
Las Varillas,-31.8708,-62.7194,0.281,0.083,20.6,0,64.4,ALTO
Corral de Bustos,-33.2833,-62.1833,0.38,0.156,23.1,0,58.8,ALTO
General Cabrera,-32.8122,-63.8711,0.297,0.149,16.1,0,54.8,ALTO
La Cumbre,-30.9814,-64.4903,0.418,0.219,17.8,0,47.9,MODERADO
San Javier y Yacanto,-32.0,-65.0833,0.519,0.197,20.6,0,49.2,MODERADO
